order_id,order_date,status,fulfilment,category,quantity,amount,ship_state,normalized_amount
405-8457623-9269955,2022-04-30,Shipped,Amazon,kurta,1,399.0,MAHARASHTRA,0.17940647482014388
408-6820155-3521913,2022-04-30,Shipped,Amazon,Set,1,751.0,ASSAM,0.3376798561151079
403-6190683-2687538,2022-04-30,Shipped,Amazon,Western Dress,1,791.0,Gujarat,0.3556654676258993
408-4069830-3819562,2022-04-30,Shipped,Amazon,Set,1,684.0,WEST BENGAL,0.30755395683453235
408-4069830-3819562,2022-04-30,Shipped,Amazon,Set,1,1186.0,WEST BENGAL,0.533273381294964
171-7367545-7081126,2022-04-30,Shipped,Amazon,kurta,1,499.0,TELANGANA,0.2243705035971223
404-6522553-9345930,2022-04-30,Cancelled,Merchant,Set,0,1105.36,UTTARAKHAND,0.4970143884892086
403-9950518-0349133,2022-04-30,Cancelled,Amazon,kurta,0,0.0,TELANGANA,0.0
407-6599093-6553153,2022-04-30,Shipped - Delivered to Buyer,Merchant,Bottom,1,377.0,WEST BENGAL,0.16951438848920863
403-3763475-2237125,2022-04-30,Shipped,Amazon,Western Dress,1,744.0,TAMIL NADU,0.3345323741007194
405-1492294-0323520,2022-04-30,Shipped,Amazon,Western Dress,1,744.0,UTTARAKHAND,0.3345323741007194
403-1162895-2484367,2022-04-30,Shipped - Delivered to Buyer,Merchant,Western Dress,1,859.0,RAJASTHAN,0.3862410071942446
171-6833843-5473114,2022-04-30,Shipped,Amazon,kurta,1,487.0,Gujarat,0.2189748201438849
403-1477057-8253913,2022-04-30,Shipped,Amazon,Western Dress,1,825.0,KERALA,0.37095323741007197
408-2114413-6089906,2022-04-30,Shipped,Amazon,Set,1,680.0,BIHAR,0.3057553956834532
405-1879750-2639521,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,725.0,TAMIL NADU,0.32598920863309355
406-5727754-5302723,2022-04-30,Shipped,Amazon,Set,1,696.0,Gujarat,0.3129496402877698
405-0901744-8270705,2022-04-30,Shipped,Amazon,kurta,1,499.0,Gujarat,0.2243705035971223
405-9112089-3379536,2022-04-30,Cancelled,Amazon,kurta,0,0.0,MAHARASHTRA,0.0
408-6357132-2310703,2022-04-30,Shipped,Amazon,Set,1,696.0,JAMMU & KASHMIR,0.3129496402877698
406-5334922-9670748,2022-04-30,Shipped,Amazon,kurta,1,406.0,KARNATAKA,0.18255395683453238
402-8519791-3706738,2022-04-30,Shipped,Amazon,Set,1,852.0,DELHI,0.3830935251798561
408-1830318-0357940,2022-04-30,Shipped,Amazon,kurta,1,399.0,HARYANA,0.17940647482014388
406-5103760-7326749,2022-04-30,Shipped,Amazon,kurta,1,432.0,Gujarat,0.19424460431654678
402-7841951-1872363,2022-04-30,Cancelled,Amazon,Set,0,0.0,DELHI,0.0
404-1856281-9996319,2022-04-30,Shipped - Delivered to Buyer,Merchant,Western Dress,1,472.0,MADHYA PRADESH,0.21223021582733814
406-5406738-7113145,2022-04-30,Shipped,Amazon,Set,1,788.0,DELHI,0.35431654676258995
405-5257740-5301158,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,832.0,HARYANA,0.37410071942446044
405-5257740-5301158,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,399.0,HARYANA,0.17940647482014388
405-2072502-4089911,2022-04-30,Shipped,Amazon,Set,1,599.0,HARYANA,0.2693345323741007
405-0882561-5952340,2022-04-30,Shipped,Amazon,Set,1,692.0,WEST BENGAL,0.31115107913669066
403-7266170-1163500,2022-04-30,Shipped - Delivered to Buyer,Merchant,Top,1,518.0,MAHARASHTRA,0.2329136690647482
405-8114272-1687512,2022-04-30,Shipped,Amazon,Set,1,788.0,DELHI,0.35431654676258995
171-6138639-1478731,2022-04-30,Shipped,Amazon,kurta,1,318.0,TELANGANA,0.14298561151079137
405-4059216-4541150,2022-04-30,Shipped,Amazon,Set,1,597.0,TELANGANA,0.26843525179856115
405-1152015-7333945,2022-04-30,Shipped,Amazon,Set,1,888.0,BIHAR,0.39928057553956836
406-0177436-6731556,2022-04-30,Shipped,Amazon,kurta,1,406.0,TELANGANA,0.18255395683453238
406-0715107-8168308,2022-04-30,Shipped,Amazon,Set,1,1186.0,UTTARAKHAND,0.533273381294964
403-0104882-7373900,2022-04-30,Cancelled,Amazon,Western Dress,1,791.0,Gujarat,0.3556654676258993
403-0104882-7373900,2022-04-30,Cancelled,Amazon,Western Dress,1,807.0,Gujarat,0.36285971223021585
403-0104882-7373900,2022-04-30,Cancelled,Amazon,Western Dress,1,807.0,Gujarat,0.36285971223021585
405-3002282-6797102,2022-04-30,Shipped,Amazon,kurta,1,311.0,WEST BENGAL,0.13983812949640287
407-8466904-3461908,2022-04-30,Shipped,Amazon,Top,1,387.0,MAHARASHTRA,0.17401079136690648
171-3305587-5364338,2022-04-30,Shipped,Amazon,kurta,1,348.0,TELANGANA,0.1564748201438849
406-8961316-8137943,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,597.0,ASSAM,0.26843525179856115
406-8961316-8137943,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,549.0,ASSAM,0.2468525179856115
171-2813040-8296320,2022-04-30,Shipped,Amazon,Set,1,635.0,KARNATAKA,0.28552158273381295
408-9845791-1393151,2022-04-30,Shipped,Amazon,Set,1,597.0,PUNJAB,0.26843525179856115
402-4277204-2348328,2022-04-30,Shipped,Amazon,Set,1,790.0,MADHYA PRADESH,0.3552158273381295
171-3049339-2085136,2022-04-30,Shipped,Amazon,kurta,1,375.0,ASSAM,0.16861510791366907
405-9928526-2470747,2022-04-30,Shipped,Amazon,Set,1,1115.0,TELANGANA,0.5013489208633094
405-4908072-0260360,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,579.0,KARNATAKA,0.260341726618705
406-3984186-5973150,2022-04-30,Shipped,Amazon,Set,1,788.0,TAMIL NADU,0.35431654676258995
171-8635309-7508346,2022-04-30,Shipped,Amazon,Set,1,597.0,TAMIL NADU,0.26843525179856115
171-0293372-4913973,2022-04-30,Cancelled,Amazon,Set,0,0.0,KARNATAKA,0.0
402-8288606-4313118,2022-04-30,Shipped,Amazon,kurta,1,517.0,HIMACHAL PRADESH,0.23246402877697842
402-8746990-6412346,2022-04-30,Shipped,Amazon,kurta,1,442.0,TAMIL NADU,0.19874100719424462
402-0294212-5431551,2022-04-30,Shipped,Amazon,kurta,1,399.0,UTTAR PRADESH,0.17940647482014388
406-1530134-2105912,2022-04-30,Shipped,Amazon,kurta,1,518.0,KARNATAKA,0.2329136690647482
403-5222550-4437140,2022-04-30,Shipped,Amazon,kurta,1,348.0,TAMIL NADU,0.1564748201438849
408-1482435-5202714,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,788.0,CHHATTISGARH,0.35431654676258995
403-6442534-2769112,2022-04-30,Cancelled,Amazon,Top,0,0.0,UTTAR PRADESH,0.0
408-3113070-0750756,2022-04-30,Shipped,Amazon,Set,1,597.0,MAHARASHTRA,0.26843525179856115
404-7796841-1880317,2022-04-30,Shipped,Amazon,kurta,1,696.0,DELHI,0.3129496402877698
405-2142542-0941949,2022-04-30,Shipped,Amazon,kurta,1,363.0,TELANGANA,0.16321942446043167
405-0286717-7761132,2022-04-30,Shipped,Amazon,kurta,1,299.0,TELANGANA,0.13444244604316546
406-9021273-9221106,2022-04-30,Shipped,Amazon,Western Dress,1,690.0,ASSAM,0.3102517985611511
404-5381335-4577925,2022-04-30,Shipped,Amazon,Top,1,574.0,KARNATAKA,0.2580935251798561
407-4235449-1353916,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,999.0,UTTAR PRADESH,0.44919064748201437
171-8061614-5688327,2022-04-30,Shipped,Amazon,Set,1,999.0,ANDHRA PRADESH,0.44919064748201437
407-8248783-4261958,2022-04-30,Shipped,Amazon,kurta,1,487.0,CHHATTISGARH,0.2189748201438849
404-6513062-3876305,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,376.0,TAMIL NADU,0.16906474820143885
406-7779874-9136347,2022-04-30,Shipped,Amazon,Set,1,1115.0,UTTARAKHAND,0.5013489208633094
406-9638549-1733961,2022-04-30,Shipped,Amazon,Set,1,517.0,KARNATAKA,0.23246402877697842
407-8801185-0134713,2022-04-30,Shipped,Amazon,Set,1,1126.0,KARNATAKA,0.5062949640287769
171-3625443-6505905,2022-04-30,Shipped,Amazon,Western Dress,1,725.0,KERALA,0.32598920863309355
402-8078642-8565124,2022-04-30,Cancelled,Amazon,kurta,0,0.0,ODISHA,0.0
402-2820441-9623566,2022-04-30,Shipped,Amazon,Western Dress,1,721.0,ODISHA,0.32419064748201437
171-4312987-5366767,2022-04-30,Shipped,Amazon,Set,1,666.0,BIHAR,0.2994604316546763
403-5189998-9343503,2022-04-30,Shipped,Amazon,Set,1,496.0,TELANGANA,0.22302158273381295
407-9863928-5979501,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,353.0,KERALA,0.15872302158273383
171-4644162-9093116,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,399.0,UTTAR PRADESH,0.17940647482014388
406-0974406-3179521,2022-04-30,Shipped,Amazon,kurta,1,458.0,TAMIL NADU,0.20593525179856115
402-0048138-1845122,2022-04-30,Shipped,Amazon,Set,1,1115.0,NAGALAND,0.5013489208633094
407-6283946-7749133,2022-04-30,Shipped,Amazon,Ethnic Dress,1,845.0,KARNATAKA,0.37994604316546765
407-0542879-1795554,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,399.0,HARYANA,0.17940647482014388
406-0218328-1773963,2022-04-30,Cancelled,Amazon,kurta,0,0.0,TAMIL NADU,0.0
407-3742007-3242711,2022-04-30,Shipped,Amazon,kurta,1,517.0,TELANGANA,0.23246402877697842
407-3742007-3242711,2022-04-30,Shipped,Amazon,kurta,1,517.0,TELANGANA,0.23246402877697842
405-3067317-3360344,2022-04-30,Shipped,Amazon,kurta,1,599.0,UTTAR PRADESH,0.2693345323741007
406-5648244-8317954,2022-04-30,Shipped,Amazon,Top,1,487.0,DELHI,0.2189748201438849
171-3460653-0171519,2022-04-30,Shipped,Amazon,Top,1,487.0,HARYANA,0.2189748201438849
404-5337874-2284337,2022-04-30,Shipped,Amazon,Set,1,568.0,KARNATAKA,0.25539568345323743
405-2660443-4165145,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,399.0,KARNATAKA,0.17940647482014388
402-3329522-2367566,2022-04-30,Shipped,Amazon,kurta,1,295.0,MAHARASHTRA,0.13264388489208634
406-3078054-1755513,2022-04-30,Shipped,Amazon,kurta,1,484.0,UTTAR PRADESH,0.21762589928057555
171-4647176-6456305,2022-04-30,Shipped,Amazon,Set,1,626.0,MAHARASHTRA,0.2814748201438849
408-5011528-8276347,2022-04-30,Shipped,Amazon,Set,1,563.0,UTTAR PRADESH,0.25314748201438847
407-4097885-3129958,2022-04-30,Shipped - Delivered to Buyer,Merchant,Top,1,387.0,MAHARASHTRA,0.17401079136690648
171-1224053-5752314,2022-04-30,Cancelled,Merchant,Top,0,463.81,KARNATAKA,0.2085476618705036
406-2849582-6531553,2022-04-30,Shipped,Amazon,Top,1,512.0,UTTAR PRADESH,0.2302158273381295
407-5875767-6399551,2022-04-30,Shipped,Amazon,Set,1,1112.0,TELANGANA,0.5
171-6336729-6763536,2022-04-30,Cancelled,Amazon,Set,1,626.0,KARNATAKA,0.2814748201438849
404-3907920-5281963,2022-04-30,Shipped,Amazon,kurta,1,376.0,TELANGANA,0.16906474820143885
408-7310428-6047538,2022-04-30,Shipped,Amazon,Western Dress,1,859.0,KARNATAKA,0.3862410071942446
403-2608092-6065935,2022-04-30,Shipped,Amazon,Set,1,597.0,KARNATAKA,0.26843525179856115
404-9760385-9109154,2022-04-30,Shipped,Amazon,kurta,1,329.0,TELANGANA,0.147931654676259
405-0732969-3941948,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,583.0,WEST BENGAL,0.26214028776978415
402-2720308-2560327,2022-04-30,Shipped,Amazon,Western Dress,1,665.0,MAHARASHTRA,0.29901079136690645
402-0589123-6183541,2022-04-30,Shipped,Amazon,Set,1,582.0,MAHARASHTRA,0.26169064748201437
408-3874942-9917143,2022-04-30,Shipped,Amazon,Set,1,1126.0,UTTAR PRADESH,0.5062949640287769
402-1706149-0949104,2022-04-30,Shipped,Amazon,kurta,1,534.0,MAHARASHTRA,0.24010791366906475
407-1672316-3245939,2022-04-30,Shipped,Amazon,kurta,1,319.0,TAMIL NADU,0.14343525179856115
405-1832646-7988329,2022-04-30,Shipped,Amazon,kurta,1,368.0,MAHARASHTRA,0.16546762589928057
408-9692204-9817146,2022-04-30,Cancelled,Amazon,Set,1,597.0,MAHARASHTRA,0.26843525179856115
402-9339129-6219537,2022-04-30,Cancelled,Amazon,Set,1,654.0,KARNATAKA,0.29406474820143885
405-3036350-8089120,2022-04-30,Shipped,Amazon,kurta,1,795.0,Gujarat,0.3574640287769784
404-6680046-0839536,2022-04-30,Shipped - Delivered to Buyer,Merchant,Western Dress,1,744.0,TAMIL NADU,0.3345323741007194
406-2966654-4672325,2022-04-30,Shipped,Amazon,kurta,1,692.0,UTTAR PRADESH,0.31115107913669066
403-4845285-4565113,2022-04-30,Shipped,Amazon,Top,1,563.0,JAMMU & KASHMIR,0.25314748201438847
171-4496851-5319548,2022-04-30,Shipped,Amazon,Top,1,545.0,KARNATAKA,0.24505395683453238
408-3416118-1167564,2022-04-30,Shipped,Amazon,Set,1,999.0,ARUNACHAL PRADESH,0.44919064748201437
406-1590113-9193914,2022-04-30,Shipped,Amazon,Set,1,654.0,WEST BENGAL,0.29406474820143885
404-0363929-8015528,2022-04-30,Shipped,Amazon,Top,1,588.0,MAHARASHTRA,0.2643884892086331
407-7173744-5333154,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,497.0,DELHI,0.22347122302158273
405-6880044-2861120,2022-04-30,Shipped,Amazon,kurta,1,517.0,RAJASTHAN,0.23246402877697842
403-4337144-0984323,2022-04-30,Cancelled,Amazon,Top,0,0.0,JAMMU & KASHMIR,0.0
171-1851948-5476361,2022-04-30,Shipped,Amazon,Set,1,1115.0,MANIPUR,0.5013489208633094
171-5810429-4493110,2022-04-30,Shipped,Amazon,Set,1,582.0,WEST BENGAL,0.26169064748201437
171-1068229-1581965,2022-04-30,Shipped,Amazon,Set,1,449.0,WEST BENGAL,0.2018884892086331
402-2105140-3584364,2022-04-30,Shipped,Amazon,kurta,1,375.0,KARNATAKA,0.16861510791366907
403-3561336-3563535,2022-04-30,Shipped,Amazon,Set,1,771.0,Gujarat,0.3466726618705036
402-9532672-5385917,2022-04-30,Shipped,Amazon,kurta,1,399.0,TAMIL NADU,0.17940647482014388
408-4547464-4180323,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,0.0,ODISHA,0.0
402-2211107-5096323,2022-04-30,Shipped,Amazon,Set,1,654.0,UTTAR PRADESH,0.29406474820143885
403-9412025-7537140,2022-04-30,Shipped,Amazon,kurta,1,424.0,KERALA,0.1906474820143885
403-5456917-5571511,2022-04-30,Cancelled,Amazon,Western Dress,0,0.0,UTTAR PRADESH,0.0
171-8452330-4756317,2022-04-30,Shipped,Amazon,Top,1,432.0,MAHARASHTRA,0.19424460431654678
171-4350114-4299568,2022-04-30,Shipped - Delivered to Buyer,Merchant,Top,1,399.0,MAHARASHTRA,0.17940647482014388
405-8692900-3888310,2022-04-30,Shipped,Amazon,kurta,1,399.0,KARNATAKA,0.17940647482014388
402-6750101-3923558,2022-04-30,Shipped,Amazon,Set,1,597.0,KERALA,0.26843525179856115
403-5725327-6264327,2022-04-30,Shipped,Amazon,Top,1,463.0,UTTAR PRADESH,0.20818345323741008
403-5209693-1173944,2022-04-30,Shipped,Amazon,kurta,1,484.0,UTTAR PRADESH,0.21762589928057555
403-8255889-7526765,2022-04-30,Shipped,Amazon,kurta,1,635.0,BIHAR,0.28552158273381295
407-3554912-7244363,2022-04-30,Shipped,Amazon,kurta,1,685.0,ASSAM,0.30800359712230213
407-4737202-9096304,2022-04-30,Shipped - Delivered to Buyer,Merchant,Western Dress,1,725.0,BIHAR,0.32598920863309355
171-2842936-5423534,2022-04-30,Shipped,Amazon,Top,1,487.0,KARNATAKA,0.2189748201438849
407-4936046-5852304,2022-04-30,Cancelled,Merchant,Set,0,1249.11,HARYANA,0.5616501798561151
407-4936046-5852304,2022-04-30,Cancelled,Merchant,Set,0,1058.93,HARYANA,0.4761375899280576
402-9580874-3525948,2022-04-30,Shipped,Amazon,Set,1,696.0,KERALA,0.3129496402877698
404-7426070-1355530,2022-04-30,Shipped,Amazon,kurta,1,329.0,TELANGANA,0.147931654676259
406-4878137-1126707,2022-04-30,Shipped,Amazon,kurta,1,517.0,MAHARASHTRA,0.23246402877697842
171-3505516-3505949,2022-04-30,Shipped,Amazon,Set,1,591.0,MAHARASHTRA,0.26573741007194246
406-6199849-7523514,2022-04-30,Shipped,Amazon,kurta,1,406.0,KERALA,0.18255395683453238
406-6180074-2350757,2022-04-30,Shipped,Amazon,Set,1,684.0,KARNATAKA,0.30755395683453235
406-6180074-2350757,2022-04-30,Shipped,Amazon,Set,1,1115.0,KARNATAKA,0.5013489208633094
406-2403215-8361103,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,999.0,KARNATAKA,0.44919064748201437
404-6578109-5618751,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,295.0,KARNATAKA,0.13264388489208634
407-2307966-4961113,2022-04-30,Shipped,Amazon,kurta,1,442.0,KARNATAKA,0.19874100719424462
404-5539778-0029904,2022-04-30,Shipped,Amazon,Set,1,563.0,ASSAM,0.25314748201438847
171-6222676-0740318,2022-04-30,Shipped,Amazon,kurta,1,435.0,DELHI,0.19559352517985612
403-2166075-2254703,2022-04-30,Shipped,Amazon,Set,1,563.0,KARNATAKA,0.25314748201438847
407-5766340-7411567,2022-04-30,Shipped,Amazon,kurta,1,399.0,Gujarat,0.17940647482014388
404-0634392-1837110,2022-04-30,Cancelled,Amazon,Top,0,0.0,MAHARASHTRA,0.0
403-5977671-8855508,2022-04-30,Shipped - Returned to Seller,Merchant,Set,1,1115.0,WEST BENGAL,0.5013489208633094
408-9321153-0591557,2022-04-30,Shipped,Amazon,kurta,1,399.0,KARNATAKA,0.17940647482014388
404-0696150-3898703,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,499.0,MAHARASHTRA,0.2243705035971223
406-7586136-6520337,2022-04-30,Shipped - Delivered to Buyer,Merchant,Western Dress,1,791.0,UTTARAKHAND,0.3556654676258993
407-6146457-8788352,2022-04-30,Shipped,Amazon,Western Dress,1,725.0,BIHAR,0.32598920863309355
404-8514200-3544346,2022-04-30,Cancelled,Amazon,kurta,0,0.0,KARNATAKA,0.0
404-7452877-2137949,2022-04-30,Cancelled,Merchant,kurta,0,0.0,KARNATAKA,0.0
407-1515930-8661921,2022-04-30,Shipped,Amazon,Set,1,1099.0,WEST BENGAL,0.4941546762589928
405-9144614-1601126,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,533.0,TELANGANA,0.23965827338129497
