order_id,order_date,status,fulfilment,category,quantity,amount,ship_state
404-1856281-9996319,2022-04-30,Shipped - Delivered to Buyer,Merchant,Western Dress,1,472,MADHYA PRADESH
406-5406738-7113145,2022-04-30,Shipped,Amazon,Set,1,788,DELHI
405-5257740-5301158,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,832,HARYANA
405-5257740-5301158,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,399,HARYANA
405-2072502-4089911,2022-04-30,Shipped,Amazon,Set,1,599,HARYANA
405-0882561-5952340,2022-04-30,Shipped,Amazon,Set,1,692,WEST BENGAL
403-7266170-1163500,2022-04-30,Shipped - Delivered to Buyer,Merchant,Top,1,518,MAHARASHTRA
405-8114272-1687512,2022-04-30,Shipped,Amazon,Set,1,788,DELHI
171-6138639-1478731,2022-04-30,Shipped,Amazon,kurta,1,318,TELANGANA
405-4059216-4541150,2022-04-30,Shipped,Amazon,Set,1,597,TELANGANA
405-1152015-7333945,2022-04-30,Shipped,Amazon,Set,1,888,BIHAR
406-0177436-6731556,2022-04-30,Shipped,Amazon,kurta,1,406,TELANGANA
406-0715107-8168308,2022-04-30,Shipped,Amazon,Set,1,1186,UTTARAKHAND
403-0104882-7373900,2022-04-30,Cancelled,Amazon,Western Dress,1,791,Gujarat
403-0104882-7373900,2022-04-30,Cancelled,Amazon,Western Dress,1,807,Gujarat
403-0104882-7373900,2022-04-30,Cancelled,Amazon,Western Dress,1,807,Gujarat
405-3002282-6797102,2022-04-30,Shipped,Amazon,kurta,1,311,WEST BENGAL
407-8466904-3461908,2022-04-30,Shipped,Amazon,Top,1,387,MAHARASHTRA
171-3305587-5364338,2022-04-30,Shipped,Amazon,kurta,1,348,TELANGANA
406-8961316-8137943,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,597,ASSAM
406-8961316-8137943,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,549,ASSAM
171-2813040-8296320,2022-04-30,Shipped,Amazon,Set,1,635,KARNATAKA
408-9845791-1393151,2022-04-30,Shipped,Amazon,Set,1,597,PUNJAB
402-4277204-2348328,2022-04-30,Shipped,Amazon,Set,1,790,MADHYA PRADESH
171-3049339-2085136,2022-04-30,Shipped,Amazon,kurta,1,375,ASSAM
405-9928526-2470747,2022-04-30,Shipped,Amazon,Set,1,1115,TELANGANA
405-4908072-0260360,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,579,KARNATAKA
406-3984186-5973150,2022-04-30,Shipped,Amazon,Set,1,788,TAMIL NADU
171-8635309-7508346,2022-04-30,Shipped,Amazon,Set,1,597,TAMIL NADU
171-0293372-4913973,2022-04-30,Cancelled,Amazon,Set,0,,KARNATAKA
402-8288606-4313118,2022-04-30,Shipped,Amazon,kurta,1,517,HIMACHAL PRADESH
402-8746990-6412346,2022-04-30,Shipped,Amazon,kurta,1,442,TAMIL NADU
402-0294212-5431551,2022-04-30,Shipped,Amazon,kurta,1,399,UTTAR PRADESH
406-1530134-2105912,2022-04-30,Shipped,Amazon,kurta,1,518,KARNATAKA
403-5222550-4437140,2022-04-30,Shipped,Amazon,kurta,1,348,TAMIL NADU
408-1482435-5202714,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,788,CHHATTISGARH
403-6442534-2769112,2022-04-30,Cancelled,Amazon,Top,0,,UTTAR PRADESH
408-3113070-0750756,2022-04-30,Shipped,Amazon,Set,1,597,MAHARASHTRA
404-7796841-1880317,2022-04-30,Shipped,Amazon,kurta,1,696,DELHI
405-2142542-0941949,2022-04-30,Shipped,Amazon,kurta,1,363,TELANGANA
405-0286717-7761132,2022-04-30,Shipped,Amazon,kurta,1,299,TELANGANA
406-9021273-9221106,2022-04-30,Shipped,Amazon,Western Dress,1,690,ASSAM
404-5381335-4577925,2022-04-30,Shipped,Amazon,Top,1,574,KARNATAKA
171-0131752-2560336,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,1399,UTTAR PRADESH
407-4235449-1353916,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,999,UTTAR PRADESH
171-8061614-5688327,2022-04-30,Shipped,Amazon,Set,1,999,ANDHRA PRADESH
407-8248783-4261958,2022-04-30,Shipped,Amazon,kurta,1,487,CHHATTISGARH
404-6513062-3876305,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,376,TAMIL NADU
406-7779874-9136347,2022-04-30,Shipped,Amazon,Set,1,1115,UTTARAKHAND
406-9638549-1733961,2022-04-30,Shipped,Amazon,Set,1,517,KARNATAKA
407-8801185-0134713,2022-04-30,Shipped,Amazon,Set,1,1126,KARNATAKA
171-3625443-6505905,2022-04-30,Shipped,Amazon,Western Dress,1,725,KERALA
402-8078642-8565124,2022-04-30,Cancelled,Amazon,kurta,0,,ODISHA
402-2820441-9623566,2022-04-30,Shipped,Amazon,Western Dress,1,721,ODISHA
171-4312987-5366767,2022-04-30,Shipped,Amazon,Set,1,666,BIHAR
403-5189998-9343503,2022-04-30,Shipped,Amazon,Set,1,496,TELANGANA
407-9863928-5979501,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,353,KERALA
171-4644162-9093116,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,399,UTTAR PRADESH
406-0974406-3179521,2022-04-30,Shipped,Amazon,kurta,1,458,TAMIL NADU
402-0048138-1845122,2022-04-30,Shipped,Amazon,Set,1,1115,NAGALAND
407-6283946-7749133,2022-04-30,Shipped,Amazon,Ethnic Dress,1,845,KARNATAKA
407-0542879-1795554,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,399,HARYANA
406-0218328-1773963,2022-04-30,Cancelled,Amazon,kurta,0,,TAMIL NADU
407-3742007-3242711,2022-04-30,Shipped,Amazon,kurta,1,517,TELANGANA
407-3742007-3242711,2022-04-30,Shipped,Amazon,kurta,1,517,TELANGANA
405-3067317-3360344,2022-04-30,Shipped,Amazon,kurta,1,599,UTTAR PRADESH
406-5648244-8317954,2022-04-30,Shipped,Amazon,Top,1,487,DELHI
171-3460653-0171519,2022-04-30,Shipped,Amazon,Top,1,487,HARYANA
404-5337874-2284337,2022-04-30,Shipped,Amazon,Set,1,568,KARNATAKA
405-2660443-4165145,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,399,KARNATAKA
402-3329522-2367566,2022-04-30,Shipped,Amazon,kurta,1,295,MAHARASHTRA
406-3078054-1755513,2022-04-30,Shipped,Amazon,kurta,1,484,UTTAR PRADESH
171-4647176-6456305,2022-04-30,Shipped,Amazon,Set,1,626,MAHARASHTRA
408-5011528-8276347,2022-04-30,Shipped,Amazon,Set,1,563,UTTAR PRADESH
407-4097885-3129958,2022-04-30,Shipped - Delivered to Buyer,Merchant,Top,1,387,MAHARASHTRA
171-1224053-5752314,2022-04-30,Cancelled,Merchant,Top,0,463.81,KARNATAKA
406-2849582-6531553,2022-04-30,Shipped,Amazon,Top,1,512,UTTAR PRADESH
407-5875767-6399551,2022-04-30,Shipped,Amazon,Set,1,1112,TELANGANA
171-6336729-6763536,2022-04-30,Cancelled,Amazon,Set,1,626,KARNATAKA
404-3907920-5281963,2022-04-30,Shipped,Amazon,kurta,1,376,TELANGANA
408-7310428-6047538,2022-04-30,Shipped,Amazon,Western Dress,1,859,KARNATAKA
403-2608092-6065935,2022-04-30,Shipped,Amazon,Set,1,597,KARNATAKA
404-9760385-9109154,2022-04-30,Shipped,Amazon,kurta,1,329,TELANGANA
405-0732969-3941948,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,583,WEST BENGAL
402-2720308-2560327,2022-04-30,Shipped,Amazon,Western Dress,1,665,MAHARASHTRA
402-0589123-6183541,2022-04-30,Shipped,Amazon,Set,1,582,MAHARASHTRA
408-3874942-9917143,2022-04-30,Shipped,Amazon,Set,1,1126,UTTAR PRADESH
402-1706149-0949104,2022-04-30,Shipped,Amazon,kurta,1,534,MAHARASHTRA
407-1672316-3245939,2022-04-30,Shipped,Amazon,kurta,1,319,TAMIL NADU
405-1832646-7988329,2022-04-30,Shipped,Amazon,kurta,1,368,MAHARASHTRA
408-9692204-9817146,2022-04-30,Cancelled,Amazon,Set,1,597,MAHARASHTRA
402-9339129-6219537,2022-04-30,Cancelled,Amazon,Set,1,654,KARNATAKA
405-3036350-8089120,2022-04-30,Shipped,Amazon,kurta,1,795,Gujarat
404-6680046-0839536,2022-04-30,Shipped - Delivered to Buyer,Merchant,Western Dress,1,744,TAMIL NADU
406-2966654-4672325,2022-04-30,Shipped,Amazon,kurta,1,692,UTTAR PRADESH
403-4845285-4565113,2022-04-30,Shipped,Amazon,Top,1,563,JAMMU & KASHMIR
171-4496851-5319548,2022-04-30,Shipped,Amazon,Top,1,545,KARNATAKA
408-3416118-1167564,2022-04-30,Shipped,Amazon,Set,1,999,ARUNACHAL PRADESH
406-1590113-9193914,2022-04-30,Shipped,Amazon,Set,1,654,WEST BENGAL
404-0363929-8015528,2022-04-30,Shipped,Amazon,Top,1,588,MAHARASHTRA
407-7173744-5333154,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,497,DELHI
405-6880044-2861120,2022-04-30,Shipped,Amazon,kurta,1,517,RAJASTHAN
403-4337144-0984323,2022-04-30,Cancelled,Amazon,Top,0,,JAMMU & KASHMIR
171-1851948-5476361,2022-04-30,Shipped,Amazon,Set,1,1115,MANIPUR
171-5810429-4493110,2022-04-30,Shipped,Amazon,Set,1,582,WEST BENGAL
171-1068229-1581965,2022-04-30,Shipped,Amazon,Set,1,449,WEST BENGAL
402-2105140-3584364,2022-04-30,Shipped,Amazon,kurta,1,375,KARNATAKA
403-3561336-3563535,2022-04-30,Shipped,Amazon,Set,1,771,Gujarat
402-9532672-5385917,2022-04-30,Shipped,Amazon,kurta,1,399,TAMIL NADU
408-4547464-4180323,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,0,ODISHA
402-2211107-5096323,2022-04-30,Shipped,Amazon,Set,1,654,UTTAR PRADESH
403-9412025-7537140,2022-04-30,Shipped,Amazon,kurta,1,424,KERALA
403-5456917-5571511,2022-04-30,Cancelled,Amazon,Western Dress,0,,UTTAR PRADESH
171-8452330-4756317,2022-04-30,Shipped,Amazon,Top,1,432,MAHARASHTRA
171-4350114-4299568,2022-04-30,Shipped - Delivered to Buyer,Merchant,Top,1,399,MAHARASHTRA
405-8692900-3888310,2022-04-30,Shipped,Amazon,kurta,1,399,KARNATAKA
402-6750101-3923558,2022-04-30,Shipped,Amazon,Set,1,597,KERALA
403-5725327-6264327,2022-04-30,Shipped,Amazon,Top,1,463,UTTAR PRADESH
403-5209693-1173944,2022-04-30,Shipped,Amazon,kurta,1,484,UTTAR PRADESH
403-8255889-7526765,2022-04-30,Shipped,Amazon,kurta,1,635,BIHAR
407-3554912-7244363,2022-04-30,Shipped,Amazon,kurta,1,685,ASSAM
407-4737202-9096304,2022-04-30,Shipped - Delivered to Buyer,Merchant,Western Dress,1,725,BIHAR
171-2842936-5423534,2022-04-30,Shipped,Amazon,Top,1,487,KARNATAKA
407-4936046-5852304,2022-04-30,Cancelled,Merchant,Set,0,1249.11,HARYANA
407-4936046-5852304,2022-04-30,Cancelled,Merchant,Set,0,1058.93,HARYANA
402-9580874-3525948,2022-04-30,Shipped,Amazon,Set,1,696,KERALA
404-7426070-1355530,2022-04-30,Shipped,Amazon,kurta,1,329,TELANGANA
406-4878137-1126707,2022-04-30,Shipped,Amazon,kurta,1,517,MAHARASHTRA
171-3505516-3505949,2022-04-30,Shipped,Amazon,Set,1,591,MAHARASHTRA
406-6199849-7523514,2022-04-30,Shipped,Amazon,kurta,1,406,KERALA
406-6180074-2350757,2022-04-30,Shipped,Amazon,Set,1,684,KARNATAKA
406-6180074-2350757,2022-04-30,Shipped,Amazon,Set,1,1115,KARNATAKA
406-2403215-8361103,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,999,KARNATAKA
404-6578109-5618751,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,295,KARNATAKA
407-2307966-4961113,2022-04-30,Shipped,Amazon,kurta,1,442,KARNATAKA
404-5539778-0029904,2022-04-30,Shipped,Amazon,Set,1,563,ASSAM
171-6222676-0740318,2022-04-30,Shipped,Amazon,kurta,1,435,DELHI
403-2166075-2254703,2022-04-30,Shipped,Amazon,Set,1,563,KARNATAKA
407-5766340-7411567,2022-04-30,Shipped,Amazon,kurta,1,399,Gujarat
404-0634392-1837110,2022-04-30,Cancelled,Amazon,Top,0,,MAHARASHTRA
408-2759943-9849959,2022-04-30,Shipped,Amazon,Set,1,1338,WEST BENGAL
403-5977671-8855508,2022-04-30,Shipped - Returned to Seller,Merchant,Set,1,1115,WEST BENGAL
408-9321153-0591557,2022-04-30,Shipped,Amazon,kurta,1,399,KARNATAKA
404-0696150-3898703,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,499,MAHARASHTRA
406-7586136-6520337,2022-04-30,Shipped - Delivered to Buyer,Merchant,Western Dress,1,791,UTTARAKHAND
407-6146457-8788352,2022-04-30,Shipped,Amazon,Western Dress,1,725,BIHAR
404-8514200-3544346,2022-04-30,Cancelled,Amazon,kurta,0,,KARNATAKA
404-7452877-2137949,2022-04-30,Cancelled,Merchant,kurta,0,,KARNATAKA
402-2703790-2816329,2022-04-30,Cancelled,Merchant,Set,0,1278.57,JHARKHAND
407-1515930-8661921,2022-04-30,Shipped,Amazon,Set,1,1099,WEST BENGAL
405-9144614-1601126,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,533,TELANGANA
407-0994909-4122733,2022-04-30,Shipped,Amazon,kurta,1,696,RAJASTHAN
402-7042386-5486768,2022-04-30,Shipped,Amazon,kurta,1,363,TAMIL NADU
403-7652993-1507525,2022-04-30,Shipped,Amazon,Set,1,631,ODISHA
407-3847456-6656309,2022-04-30,Shipped,Amazon,Set,1,1115,BIHAR
407-3847456-6656309,2022-04-30,Shipped,Amazon,Set,1,968,BIHAR
171-7623384-8040337,2022-04-30,Shipped,Amazon,kurta,1,486,MAHARASHTRA
171-7623384-8040337,2022-04-30,Shipped,Amazon,Set,1,597,MAHARASHTRA
171-4607096-6413920,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,563,MAHARASHTRA
404-6783988-2006729,2022-04-30,Shipped,Amazon,Set,1,597,TAMIL NADU
404-6975277-1927553,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,458,WEST BENGAL
402-5586272-3646748,2022-04-30,Shipped,Amazon,Set,1,1065,UTTARAKHAND
171-6655820-6440356,2022-04-30,Shipped,Amazon,Set,2,2130,MAHARASHTRA
171-1584788-8864335,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,1099,MAHARASHTRA
402-0150402-0900371,2022-04-30,Shipped,Amazon,Western Dress,1,721,MADHYA PRADESH
408-6791822-5493964,2022-04-30,Shipped,Amazon,Set,1,968,UTTAR PRADESH
405-0483874-0889137,2022-04-30,Shipped,Amazon,Set,1,563,UTTAR PRADESH
407-5600921-2143569,2022-04-30,Cancelled,Merchant,Set,0,995.54,KARNATAKA
404-1607808-0769930,2022-04-30,Cancelled,Amazon,Set,0,,BIHAR
407-5124083-2725136,2022-04-30,Shipped,Amazon,Set,1,682,UTTAR PRADESH
407-4766116-5412325,2022-04-30,Shipped,Amazon,kurta,1,399,HIMACHAL PRADESH
402-6885004-6990731,2022-04-30,Shipped,Amazon,Set,1,626,TAMIL NADU
402-2207276-9869933,2022-04-30,Shipped,Amazon,Set,1,1140,TELANGANA
407-9494293-9423561,2022-04-30,Shipped,Amazon,kurta,1,486,JAMMU & KASHMIR
171-6867266-8495534,2022-04-30,Shipped,Amazon,Set,1,597,KARNATAKA
408-3475592-6193128,2022-04-30,Shipped,Amazon,kurta,1,399,KARNATAKA
171-1987024-2709164,2022-04-30,Shipped,Amazon,Set,1,660,ANDHRA PRADESH
406-1522425-5387565,2022-04-30,Shipped,Amazon,kurta,1,459,TELANGANA
171-3270734-5045130,2022-04-30,Shipped,Amazon,Set,1,631,DELHI
408-4101226-7217932,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,459,UTTAR PRADESH
171-5719664-5449151,2022-04-30,Cancelled,Amazon,Set,1,597,KARNATAKA
403-9400764-4029123,2022-04-30,Shipped,Amazon,Set,1,852,KARNATAKA
406-8413944-2634744,2022-04-30,Shipped,Amazon,kurta,1,353,TELANGANA
406-8271099-5133911,2022-04-30,Shipped,Amazon,kurta,1,345,KARNATAKA
406-8271099-5133911,2022-04-30,Shipped,Amazon,kurta,1,329,KARNATAKA
405-3441326-1516368,2022-04-30,Shipped,Amazon,Top,1,518,WEST BENGAL
408-8009772-6580317,2022-04-30,Shipped,Amazon,Top,1,387,WEST BENGAL
402-4774686-7773937,2022-04-30,Shipped - Delivered to Buyer,Merchant,Top,1,339,TELANGANA
402-2860689-5652319,2022-04-30,Shipped,Amazon,Western Dress,1,744,MADHYA PRADESH
406-6386989-1689108,2022-04-30,Shipped - Delivered to Buyer,Merchant,Set,1,888,WEST BENGAL
408-9720884-9553122,2022-04-30,Shipped,Amazon,kurta,1,487,ODISHA
408-6428766-2839536,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,487,ODISHA
408-8641795-6914711,2022-04-30,Shipped,Amazon,Top,1,563,HARYANA
402-9475978-1434754,2022-04-30,Shipped,Amazon,Western Dress,1,859,ANDHRA PRADESH
407-5776821-9327552,2022-04-30,Shipped,Amazon,Set,1,1133,MAHARASHTRA
171-6845071-0336346,2022-04-30,Shipped,Amazon,Set,1,788,MAHARASHTRA
404-7491342-1035558,2022-04-30,Shipped,Amazon,Set,1,1463,MAHARASHTRA
171-6783343-9758701,2022-04-30,Shipped,Amazon,kurta,1,399,PUNJAB
402-0043314-1059527,2022-04-30,Cancelled,Amazon,Western Dress,1,744,MADHYA PRADESH
406-6586654-6641140,2022-04-30,Shipped - Delivered to Buyer,Merchant,kurta,1,487,KARNATAKA
405-6120626-0941135,2022-04-30,Shipped,Amazon,Set,1,657,KARNATAKA
408-9255314-3102740,2022-04-30,Shipped,Amazon,Set,1,1133,MAHARASHTRA
408-3436456-9893130,2022-04-30,Shipped,Amazon,kurta,1,399,MAHARASHTRA
408-3870331-6287517,2022-04-30,Shipped,Amazon,kurta,1,399,UTTARAKHAND
408-3870331-6287517,2022-04-30,Shipped,Amazon,kurta,1,399,UTTARAKHAND
